FID,region,nom_rgn,provinc,nm_prvn,comuna,nom_cmn,urbano,geocodg,redcode,uf2018,geocode,hogares,geocodigo,hog_40pct,prom_ismt,prom_rank,pct_hog40p,AVE_GSE,ABC1,C2,C3,D,E,NSE,Shape__Area,Shape__Length
1,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13107,HUECHURABA,HUECHURABA,13107011001,13107011001,17.2601512045,13107011001,920,13107011001,390,0.790512151153,0.443518660199,0.423913043478,D,109,130,328,280,73,920,3971479.81054688,11532.3845495539
2,13,REGIÓN METROPOLITANA DE SANTIAGO,134,MAIPO,13402,BUIN,EL RULO,13402061001,13402061001,18.5384936333,13402061001,643,13402061001,473,0.731158937281,0.269582574554,0.735614307932,D,23,40,129,332,119,643,1245311.38476563,9961.09690691284
3,13,REGIÓN METROPOLITANA DE SANTIAGO,134,MAIPO,13402,BUIN,ALTO JAHUEL,13402021001,13402021001,18.6487962008,13402021001,1107,13402021001,750,0.741235354424,0.307190479446,0.677506775068,D,64,68,250,514,211,1107,1453735.58203125,10273.393608738
4,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13107,HUECHURABA,HUECHURABA,13107021003,13107021003,10.1327733616,13107021003,1767,13107021003,1243,0.738709241538,0.281335190932,0.703452178834,D,28,72,490,892,285,1767,842910.681640625,3997.56593590301
5,13,REGIÓN METROPOLITANA DE SANTIAGO,134,MAIPO,13402,BUIN,BUIN,13402011010,13402011010,17.9147619406,13402011010,1555,13402011010,983,0.757615186559,0.32510647289,0.632154340836,D,24,92,531,756,152,1555,964844.20703125,4269.28330237662
6,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13107,HUECHURABA,HUECHURABA,13107021001,13107021001,13.310319034,13107021001,828,13107021001,627,0.723697160939,0.246765282243,0.757246376812,D,9,21,197,435,166,828,346465.4375,2542.76878183196
7,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13114,LAS CONDES,LAS CONDES,13114051001,13114051001,72.8454346552,13114051001,1381,13114051001,72,0.898998703042,0.80213181279,0.0521361332368,ABC1,949,215,162,53,2,1381,498431.3046875,2818.1643067293
8,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13115,LO BARNECHEA,LO BARNECHEA,13115011008,13115011008,63.3652909786,13115011008,1393,13115011008,48,0.912323871257,0.85150370407,0.0344580043073,ABC1,1129,126,96,38,4,1393,5519441.84960938,10097.3502274348
9,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13115,LO BARNECHEA,LO BARNECHEA,13115021001,13115021001,59.6758195266,13115021001,1063,13115021001,484,0.800382237412,0.49254688709,0.455315145814,C3,319,100,194,333,117,1063,749511.1171875,4319.4358737286
10,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13115,LO BARNECHEA,LO BARNECHEA,13115011011,13115011011,71.7124578501,13115011011,884,13115011011,16,0.920253326191,0.876476496496,0.0180995475113,ABC1,761,82,25,11,5,884,7223182.94335938,17674.6073798847
11,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13115,LO BARNECHEA,LO BARNECHEA,13115011007,13115011007,56.7835837086,13115011007,992,13115011007,27,0.915141813859,0.860917007404,0.0272177419355,ABC1,825,105,36,24,2,992,4336786.00585938,10052.9992080237
12,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13115,LO BARNECHEA,LO BARNECHEA,13115021005,13115021005,27.5295799751,13115021005,1348,13115021005,824,0.765934008121,0.349271352427,0.611275964392,D,56,92,444,643,113,1348,510073.033203125,5270.23992963572
