comuna,geocodigo,city,Hi_final
13101,13101011001,Gran Santiago,.24058214
13101,13101011002,Gran Santiago,.17530979
13101,13101011003,Gran Santiago,.22657512
13101,13101011004,Gran Santiago,.16383554
13101,13101011005,Gran Santiago,.17896311
13101,13101021001,Gran Santiago,.049829405
13101,13101021002,Gran Santiago,.15274933
13101,13101021003,Gran Santiago,.087641805
13101,13101021004,Gran Santiago,.049421586
13101,13101021005,Gran Santiago,-.012423307
13101,13101021006,Gran Santiago,.040887494
13101,13101021007,Gran Santiago,.026124625
13101,13101021008,Gran Santiago,.14263347
13101,13101031001,Gran Santiago,.04897438
13101,13101031002,Gran Santiago,.078955747
13101,13101031003,Gran Santiago,.12955031
13101,13101031004,Gran Santiago,.11684126
13101,13101031005,Gran Santiago,.065351486
13101,13101031006,Gran Santiago,.14221129
13101,13101031007,Gran Santiago,.12748691
13101,13101041001,Gran Santiago,.01897083
13101,13101041002,Gran Santiago,.052031104
13101,13101041003,Gran Santiago,.044907827
13101,13101041004,Gran Santiago,.026851458
13101,13101041005,Gran Santiago,.0096263373
13101,13101051001,Gran Santiago,.0050525186
13101,13101051002,Gran Santiago,-.044103723
13101,13101051003,Gran Santiago,-.017368836
13101,13101061001,Gran Santiago,.021125689
13101,13101061002,Gran Santiago,-.0021962882
13101,13101061003,Gran Santiago,-.0046149818
13101,13101071001,Gran Santiago,-.034210537
13101,13101071002,Gran Santiago,-.0716931
13101,13101071003,Gran Santiago,-.017197797
13101,13101081001,Gran Santiago,-.0015839854
13101,13101081002,Gran Santiago,-.03794796
13101,13101081003,Gran Santiago,-.00090177607
13101,13101081004,Gran Santiago,-.036725484
13101,13101091001,Gran Santiago,-.0040062275
13101,13101091002,Gran Santiago,-.010066979
13101,13101091003,Gran Santiago,-.01872394
13101,13101091004,Gran Santiago,-.011326183
13101,13101101001,Gran Santiago,.1656619
13101,13101101002,Gran Santiago,.22528654
13101,13101101003,Gran Santiago,.1443554
13101,13101101004,Gran Santiago,.20617582
13101,13101101005,Gran Santiago,.18667802
13101,13101101006,Gran Santiago,.14619267
13101,13101101007,Gran Santiago,.19675831
13101,13101101008,Gran Santiago,.22098091
13101,13101101009,Gran Santiago,.1806076
13101,13101101010,Gran Santiago,.1347807
13101,13101111001,Gran Santiago,.13533339
13101,13101111002,Gran Santiago,.2581085
13101,13101111003,Gran Santiago,.18206578
13101,13101111004,Gran Santiago,.12939559
13101,13101111005,Gran Santiago,.19452405
13101,13101111006,Gran Santiago,.20597833
13101,13101111007,Gran Santiago,.13390562
13101,13101111008,Gran Santiago,.11605321
13101,13101111009,Gran Santiago,.13398352
13101,13101111010,Gran Santiago,.23712932
13101,13101111011,Gran Santiago,.14373733
13101,13101111012,Gran Santiago,.23568922
13101,13101111013,Gran Santiago,.15547188
13101,13101111014,Gran Santiago,.1627457
13101,13101111015,Gran Santiago,.15587924
13101,13101111016,Gran Santiago,.21782544
13101,13101111017,Gran Santiago,.10118752
13101,13101111018,Gran Santiago,.22773381
13101,13101111019,Gran Santiago,.17527439
13101,13101121001,Gran Santiago,.032757934
13101,13101121002,Gran Santiago,.12613074
13101,13101121003,Gran Santiago,.17117767
13101,13101121004,Gran Santiago,.12205825
13101,13101121005,Gran Santiago,.0050836573
13101,13101121006,Gran Santiago,.093975529
13101,13101121007,Gran Santiago,.037998263
13101,13101121008,Gran Santiago,.14956415
13101,13101121009,Gran Santiago,.22839117
13101,13101131001,Gran Santiago,.075500168
13101,13101131002,Gran Santiago,.16724552
13101,13101131003,Gran Santiago,.17261936
13101,13101131004,Gran Santiago,.094547026
13101,13101131005,Gran Santiago,.055663578
13101,13101131006,Gran Santiago,.1119172
13101,13101131007,Gran Santiago,.16098428
13101,13101131008,Gran Santiago,.20617031
13101,13101131009,Gran Santiago,.17622212
13101,13101141001,Gran Santiago,-.018100815
13101,13101141002,Gran Santiago,.051345699
13101,13101141003,Gran Santiago,.098469779
13101,13101151001,Gran Santiago,-.0033949008
13101,13101151002,Gran Santiago,.049407035
13101,13101151003,Gran Santiago,.0040900623
13101,13101151004,Gran Santiago,-.0015536452
13101,13101161001,Gran Santiago,.12250954
13101,13101161002,Gran Santiago,.0056257872
13101,13101161003,Gran Santiago,.053960096
13101,13101171001,Gran Santiago,-.0026505918
13101,13101171002,Gran Santiago,-.019633789
13101,13101171003,Gran Santiago,-.07076773
13101,13101181001,Gran Santiago,-.0079091042
13101,13101181002,Gran Santiago,-.082458258
13101,13101191001,Gran Santiago,.0095975054
13101,13101191002,Gran Santiago,-.0039058037
13101,13101191003,Gran Santiago,-.012554869
13101,13101201001,Gran Santiago,-.0013006334
13101,13101201002,Gran Santiago,-.13726282
13101,13101201003,Gran Santiago,-.08016625
13101,13101211001,Gran Santiago,-.070548341
13101,13101211002,Gran Santiago,-.010781125
13101,13101221001,Gran Santiago,.023377957
13101,13101231001,Gran Santiago,.0023267863
13101,13101241001,Gran Santiago,-.019134508
13101,13101241002,Gran Santiago,-.038799435
13101,13101251001,Gran Santiago,-.077401042
13101,13101261001,Gran Santiago,-.11789429
13101,13101271001,Gran Santiago,.0044080126
13101,13101271002,Gran Santiago,.026802044
13101,13101271003,Gran Santiago,.044331096
13101,13101271004,Gran Santiago,.0043010237
13101,13101281001,Gran Santiago,.095075227
13101,13101281002,Gran Santiago,.078038096
13101,13101281003,Gran Santiago,.13108285
13101,13101281004,Gran Santiago,.16297387
13101,13101281005,Gran Santiago,.10969172
13101,13101281006,Gran Santiago,.12434635
13101,13101291001,Gran Santiago,.025892017
13102,13102011001,Gran Santiago,.0077684037
13102,13102011002,Gran Santiago,-.15121654
13102,13102011003,Gran Santiago,.019286387
13102,13102011004,Gran Santiago,.017128244
13102,13102021001,Gran Santiago,-.048551213
13102,13102021002,Gran Santiago,-.030286191
13102,13102021003,Gran Santiago,-.0095706247
13102,13102021004,Gran Santiago,-.040790617
13102,13102031001,Gran Santiago,-.27584714
13102,13102031002,Gran Santiago,-.16066624
13102,13102031003,Gran Santiago,-.097851619
13102,13102031004,Gran Santiago,-.022620872
13102,13102031005,Gran Santiago,-.25301564
13102,13102031006,Gran Santiago,-.284973
13102,13102031007,Gran Santiago,-.18892932
13102,13102041001,Gran Santiago,-.023491509
13102,13102041002,Gran Santiago,-.014286652
13102,13102041003,Gran Santiago,-.024932578
13102,13102041004,Gran Santiago,-.21377797
13102,13102041005,Gran Santiago,-.29514867
13102,13102041006,Gran Santiago,-.2151541
13103,13103011001,Gran Santiago,-.22477041
13103,13103011002,Gran Santiago,-.15925348
13103,13103011003,Gran Santiago,-.20864782
